minute_of_day,time,2024,2025,2026
674,11:14,5.0894,3.712,10.0059
675,11:15,5.0795,3.7081,10.0835
676,11:16,5.0961,3.707,9.7509
677,11:17,5.0991,3.7074,9.6959
678,11:18,5.1351,3.7094,9.5411
679,11:19,5.106,3.7088,9.7718
680,11:20,5.0842,3.7073,9.6193
681,11:21,5.1107,3.7063,9.6783
682,11:22,5.0411,3.7066,9.5038
683,11:23,5.0407,3.7075,9.3925
684,11:24,5.0726,3.7183,9.7465
685,11:25,5.0911,3.7062,9.5509
686,11:26,5.1252,3.7109,9.3978
687,11:27,5.0861,3.7077,9.7699
688,11:28,5.0795,3.7083,9.5652
689,11:29,5.0441,3.7059,10.2947
690,11:30,5.0536,3.7085,9.9783
691,11:31,5.0083,3.706,9.9765
692,11:32,5.0376,3.7063,9.9974
693,11:33,5.0303,3.7088,9.684
694,11:34,5.0545,3.7098,9.8562
695,11:35,5.0587,3.7094,9.59
696,11:36,5.0325,3.7095,9.6714
697,11:37,5.0287,3.7054,9.6008
698,11:38,5.0343,3.709,9.7709
699,11:39,5.0449,3.7069,9.8933
700,11:40,5.0185,3.7092,9.4155
701,11:41,5.0432,3.7091,9.5257
702,11:42,5.0565,3.7157,9.6554
703,11:43,5.0851,3.7059,9.5205
704,11:44,5.0824,3.7056,9.4298
705,11:45,5.0272,3.7071,9.412
706,11:46,5.0325,3.7052,9.7394
707,11:47,5.0773,3.7042,9.6733
708,11:48,5.0614,3.7033,9.4318
709,11:49,5.0593,3.7083,8.8147
710,11:50,5.0288,3.7035,9.2719
711,11:51,5.0237,3.7039,9.2224
712,11:52,5.0305,3.7035,9.2285
713,11:53,5.019,3.7037,9.2346
714,11:54,5.068,3.7071,9.2873
715,11:55,5.037,3.7031,9.6578
716,11:56,5.0355,3.7022,9.4172
717,11:57,5.0694,3.7041,9.1837
718,11:58,5.0156,3.7021,9.0959
719,11:59,5.0557,3.7042,9.1165
720,12:00,5.0033,3.7025,9.2849
721,12:01,5.0497,3.7026,9.3604
722,12:02,5.1086,3.703,9.4568
723,12:03,5.1276,3.7021,9.1866
724,12:04,5.0995,3.7031,9.2977
725,12:05,5.138,3.7023,9.4062
726,12:06,5.1178,3.7021,9.5029
727,12:07,5.1713,3.7032,9.4104
728,12:08,5.1091,3.7033,9.1042
729,12:09,5.1033,3.7027,9.2705
730,12:10,5.1005,3.7025,9.2285
731,12:11,5.1173,3.7021,9.0722
732,12:12,5.0866,3.703,9.1946
733,12:13,5.0311,3.7029,9.126
734,12:14,5.1028,3.705,9.2963
735,12:15,5.2813,3.7201,9.1864
736,12:16,5.164,3.7028,9.2218
737,12:17,5.1926,3.7025,9.1898
738,12:18,5.1207,3.7023,9.1325
739,12:19,5.0891,3.7021,9.3877
740,12:20,5.1529,3.7035,9.6009
741,12:21,5.1795,3.7023,9.5841
742,12:22,5.1542,3.7019,9.4737
743,12:23,5.1754,3.7018,9.5793
744,12:24,5.189,3.7019,9.4507
745,12:25,5.1673,3.7048,9.1986
746,12:26,5.1949,3.705,9.2495
747,12:27,5.2051,3.7028,9.2752
748,12:28,5.1647,3.703,9.0725
749,12:29,5.5168,3.7348,9.2872
750,12:30,6.7498,3.8259,10.6126
751,12:31,6.0015,3.7098,9.4385
752,12:32,5.9377,3.7046,9.461
753,12:33,5.888,3.7033,9.7808
754,12:34,5.258,3.7025,9.5686
755,12:35,5.191,3.7015,9.3117
756,12:36,5.1929,3.7022,9.2847
757,12:37,5.1886,3.7016,9.2353
758,12:38,5.1636,3.7016,9.3157
759,12:39,5.1697,3.7113,9.2143
760,12:40,5.1668,3.7124,9.3061
761,12:41,5.199,3.7088,10.0362
762,12:42,5.1942,3.703,9.4384
763,12:43,5.1876,3.7019,9.3434
764,12:44,5.1683,3.708,9.377
765,12:45,5.1929,3.7048,9.5042
766,12:46,5.1572,3.7037,9.4421
767,12:47,5.121,3.7036,9.0803
768,12:48,5.1387,3.7026,9.0597
769,12:49,5.1019,3.7027,8.8123
770,12:50,5.1089,3.7024,9.1747
771,12:51,5.1111,3.7024,9.2543
772,12:52,5.1125,3.7027,9.185
773,12:53,5.1356,3.7027,9.3024
774,12:54,5.0809,3.7029,8.9909
775,12:55,5.0432,3.7028,9.1405
776,12:56,5.0395,3.7028,9.039
777,12:57,5.108,3.7037,8.9377
778,12:58,5.0921,3.7033,8.9977
779,12:59,5.0587,3.7036,8.9539
780,13:00,4.9613,3.7039,9.867
781,13:01,4.986,3.7033,9.7935
782,13:02,4.9966,3.7028,9.452
783,13:03,4.9751,3.7043,9.1096
784,13:04,5.015,3.7042,9.2865
785,13:05,5.0208,3.7042,9.2773
786,13:06,5.0265,3.7039,9.1622
787,13:07,5.0588,3.7027,9.2384
788,13:08,5.0159,3.7043,9.408
789,13:09,5.0017,3.7034,9.2942
790,13:10,5.0049,3.7047,9.1452
791,13:11,5.0286,3.7038,9.1687
792,13:12,5.0214,3.7051,9.1346
793,13:13,5.0257,3.7043,9.0397
794,13:14,5.0962,3.705,8.8914
795,13:15,5.2301,3.7043,9.0435
796,13:16,5.1359,3.7045,8.9419
797,13:17,5.1469,3.7034,9.2822
798,13:18,5.0763,3.7046,8.7578
799,13:19,5.0572,3.7039,9.0209
800,13:20,5.0009,3.7045,8.7017
801,13:21,5.0201,3.705,8.771
802,13:22,5.0038,3.7061,8.8765
803,13:23,5.0429,3.7054,8.9862
804,13:24,5.0243,3.707,8.7627
805,13:25,5.034,3.7047,8.4448
806,13:26,5.0194,3.7043,8.5188
807,13:27,4.9788,3.7051,8.7153
808,13:28,5.0469,3.7049,8.6215
809,13:29,5.243,3.7278,8.7245
810,13:30,5.8106,3.7627,10.0693
811,13:31,5.554,3.729,9.8139
812,13:32,5.5783,3.7272,9.6866
813,13:33,5.4635,3.7371,9.3421
814,13:34,5.1578,3.7065,9.1718
815,13:35,5.1345,3.7398,9.2606
816,13:36,5.1557,3.7089,9.2164
817,13:37,5.1656,3.7053,9.0831
818,13:38,5.1544,3.7059,9.1924
819,13:39,5.1369,3.7069,9.1793
820,13:40,5.1043,3.7214,9.2663
821,13:41,5.0996,3.7067,9.3363
822,13:42,5.1441,3.7073,9.2233
823,13:43,5.1188,3.705,9.1945
824,13:44,5.11,3.7052,9.1043
825,13:45,5.2516,3.7174,9.2559
826,13:46,5.1229,3.7501,9.2181
827,13:47,5.1161,3.7576,9.1534
828,13:48,5.1117,3.7481,9.3912
829,13:49,5.0801,3.7495,9.3882
830,13:50,5.0831,3.7386,9.2768
831,13:51,5.0731,3.7387,9.4168
832,13:52,5.0615,3.7601,9.3318
833,13:53,5.0765,3.7531,9.2912
834,13:54,5.0908,3.7591,9.1851
835,13:55,5.0858,3.7468,9.2743
836,13:56,5.0901,3.7476,9.1459
837,13:57,5.104,3.7537,9.0652
838,13:58,5.1249,3.7543,9.1145
839,13:59,5.2087,3.7625,9.1579
840,14:00,5.3658,3.7852,9.3749
841,14:01,5.1028,3.7417,9.1733
842,14:02,5.0981,3.7403,9.0322
843,14:03,5.1004,3.7283,9.0445
844,14:04,5.114,3.7223,9.0058
845,14:05,5.0921,3.7393,8.9221
846,14:06,5.0813,3.7294,8.9428
847,14:07,5.0501,3.7393,9.0496
848,14:08,5.1031,3.7418,9.1954
849,14:09,5.0972,3.735,9.0828
850,14:10,5.0894,3.7327,8.9602
851,14:11,5.1089,3.743,8.7852
852,14:12,5.0915,3.7292,8.9344
853,14:13,5.0619,3.7229,9.0897
854,14:14,5.0718,3.731,9.2404
855,14:15,5.0596,3.7228,9.1699
856,14:16,5.0855,3.7341,9.2562
857,14:17,5.094,3.7342,9.1748
858,14:18,5.0513,3.7342,9.0808
859,14:19,5.037,3.7272,9.0986
860,14:20,5.0215,3.7278,9.1336
861,14:21,5.0327,3.7377,9.0159
862,14:22,5.0407,3.7511,9.1613
863,14:23,5.0344,3.7397,9.0869
864,14:24,5.0816,3.7406,9.1137
865,14:25,5.0421,3.7242,9.3753
866,14:26,5.0443,3.7329,9.5169
867,14:27,5.0,3.7329,9.211
868,14:28,5.0148,3.7116,9.2238
869,14:29,5.0121,3.7042,8.8622
870,14:30,4.9346,3.7069,9.3459
871,14:31,5.0081,3.7062,8.9648
872,14:32,5.0004,3.7058,8.7895
873,14:33,5.0334,3.7051,8.937
874,14:34,5.028,3.7045,8.925
875,14:35,5.0283,3.7057,8.8735
876,14:36,5.0157,3.7051,9.0023
877,14:37,4.9903,3.7055,9.0535
878,14:38,4.9832,3.7049,9.3352
879,14:39,5.0398,3.7087,9.1403
880,14:40,4.9864,3.7046,9.3778
881,14:41,5.0213,3.7034,9.3291
882,14:42,4.9971,3.7041,9.1331
883,14:43,5.0107,3.7033,9.016
884,14:44,4.9875,3.7048,9.2267
885,14:45,5.0432,3.7117,9.3411
886,14:46,5.0354,3.7053,9.3208
887,14:47,5.0123,3.7245,9.1424
888,14:48,5.0067,3.7219,9.1476
889,14:49,4.9942,3.714,8.8542
890,14:50,4.9966,3.7116,9.0243
891,14:51,5.0107,3.7192,9.2979
892,14:52,5.0055,3.7165,9.3719
893,14:53,5.0194,3.7163,9.1629
894,14:54,5.0278,3.7163,9.0257
895,14:55,4.9985,3.7167,9.1416
896,14:56,5.036,3.7154,9.1032
897,14:57,5.0564,3.7155,9.0996
898,14:58,5.0937,3.7137,9.0608
899,14:59,5.0678,3.7118,9.6423
900,15:00,5.1839,3.727,9.8379
901,15:01,5.0813,3.723,9.5874
902,15:02,5.1138,3.7298,9.3481
903,15:03,5.0307,3.7241,9.7486
904,15:04,5.1133,3.7144,9.5506
905,15:05,5.0665,3.7103,9.2348
906,15:06,5.0256,3.7114,9.3028
907,15:07,4.99,3.7118,8.819
908,15:08,4.9637,3.7135,8.6869
909,15:09,5.0106,3.7123,8.8086
910,15:10,5.0256,3.7144,8.7231
911,15:11,5.0428,3.7169,8.5579
912,15:12,5.0312,3.7177,8.5743
913,15:13,5.0361,3.7157,8.5497
914,15:14,5.0191,3.7187,8.436
915,15:15,5.0356,3.7199,8.5888
916,15:16,5.0424,3.7147,8.7936
917,15:17,5.0529,3.7134,8.8104
918,15:18,5.0202,3.7207,8.5316
919,15:19,5.0389,3.7131,8.3086
920,15:20,5.0282,3.7142,8.3617
921,15:21,5.0508,3.7138,8.508
922,15:22,5.0324,3.7171,8.5022
923,15:23,5.0487,3.7105,8.5344
924,15:24,5.0443,3.7122,8.3844
925,15:25,5.0504,3.7067,8.4037
926,15:26,5.0674,3.7042,8.342
927,15:27,5.0768,3.7054,8.3237
928,15:28,5.0371,3.7064,8.9734
929,15:29,5.0916,3.7043,9.0666
930,15:30,5.0667,3.7049,8.6773
931,15:31,5.0763,3.7045,8.4946
932,15:32,5.0883,3.7053,8.6463
933,15:33,5.0413,3.704,8.5868
934,15:34,5.0345,3.7461,8.4483
935,15:35,5.076,3.7061,8.5404
936,15:36,5.0364,3.705,8.6366
937,15:37,5.244,3.7045,8.6417
938,15:38,5.0362,3.7044,8.7405
939,15:39,5.0481,3.7044,8.4714
940,15:40,5.043,3.7045,8.6413
941,15:41,5.0314,3.7044,8.5157
942,15:42,5.0087,3.7044,8.3894
943,15:43,5.0561,3.7053,8.3346
944,15:44,5.0491,3.7045,8.4419
945,15:45,5.0338,3.7044,8.495
946,15:46,5.0308,3.7048,8.5274
947,15:47,5.039,3.7042,8.6038
948,15:48,5.0612,3.7048,8.4812
949,15:49,5.0724,3.7046,8.35
950,15:50,5.0374,3.7054,8.4624
951,15:51,5.0389,3.7042,8.5175
952,15:52,5.0365,3.704,8.6751
953,15:53,5.0526,3.7046,8.715
954,15:54,5.0448,3.7039,8.437
955,15:55,5.0131,3.7051,8.8189
956,15:56,5.0759,3.7043,8.6324
957,15:57,5.0669,3.7035,8.7812
958,15:58,5.0593,3.7046,8.4899
959,15:59,5.0623,3.7037,8.5079
960,16:00,5.0841,3.7035,8.8166
961,16:01,5.0962,3.7035,9.0572
962,16:02,5.0862,3.7039,8.8933
963,16:03,5.0463,3.7063,9.0132
964,16:04,5.0437,3.7061,8.9207
965,16:05,5.0765,3.7047,8.7604
966,16:06,5.064,3.7039,8.6863
967,16:07,5.0325,3.7054,8.6474
968,16:08,5.04,3.704,8.9878
969,16:09,5.0276,3.704,8.6681
970,16:10,5.0644,3.7059,8.7139
971,16:11,5.0834,3.7036,8.7475
972,16:12,5.039,3.7035,8.885
973,16:13,5.0619,3.7034,9.2902
974,16:14,5.0509,3.7036,9.5379
975,16:15,5.0479,3.7039,9.2636
976,16:16,5.0592,3.7043,9.1125
977,16:17,5.0393,3.7044,9.1455
978,16:18,5.0467,3.7056,9.0824
979,16:19,5.075,3.7039,8.8761
980,16:20,5.0572,3.7043,9.0017
981,16:21,5.0636,3.7042,8.8918
982,16:22,5.0589,3.7041,8.9717
983,16:23,5.0731,3.7048,8.846
984,16:24,5.0822,3.704,8.8494
985,16:25,5.0916,3.7071,8.7633
986,16:26,5.0785,3.7046,8.8608
987,16:27,5.0702,3.7069,8.6244
988,16:28,5.0728,3.7056,8.599
989,16:29,5.0591,3.7047,8.5878
990,16:30,5.0698,3.7046,8.9968
991,16:31,5.0715,3.704,8.8917
992,16:32,5.0828,3.7047,8.6544
993,16:33,5.066,3.7039,8.7402
994,16:34,5.0797,3.7039,8.8753
995,16:35,5.0735,3.713,8.7658
996,16:36,5.0593,3.7131,8.7384
997,16:37,5.0549,3.7047,8.5617
998,16:38,5.1116,3.7038,8.6982
999,16:39,5.118,3.7035,8.6139
1000,16:40,5.0768,3.7044,8.6811
1001,16:41,5.0868,3.7038,8.7674
1002,16:42,5.1224,3.7065,8.8879
1003,16:43,5.0981,3.7033,9.0852
1004,16:44,5.0889,3.7041,8.9924
1005,16:45,5.1172,3.7039,8.9459
1006,16:46,5.0887,3.7037,8.9183
1007,16:47,5.0928,3.7043,9.0388
1008,16:48,5.1368,3.7039,9.0609
1009,16:49,5.0903,3.7039,8.701
1010,16:50,5.1091,3.7043,9.1149
1011,16:51,5.0835,3.7031,8.8919
1012,16:52,5.1213,3.7031,8.628
1013,16:53,5.0569,3.7045,8.8524
1014,16:54,5.0623,3.7035,8.6943
1015,16:55,5.0983,3.7067,8.7609
1016,16:56,5.0803,3.7033,8.5789
1017,16:57,5.1118,3.7038,8.5266
1018,16:58,5.1278,3.7029,8.6826
1019,16:59,5.126,3.7065,8.3345
1020,17:00,5.0849,3.7022,8.9451
1021,17:01,5.1719,3.7021,8.7477
1022,17:02,5.1537,3.7029,8.8477
1023,17:03,5.0935,3.7023,8.4706
1024,17:04,5.145,3.7024,8.5133
1025,17:05,5.1941,3.7021,9.0987
1026,17:06,5.112,3.7039,8.9743
1027,17:07,5.1257,3.7022,8.8387
1028,17:08,5.1238,3.7021,8.68
1029,17:09,5.1302,3.7019,8.7147
1030,17:10,5.1289,3.7027,9.0223
1031,17:11,5.1387,3.7019,8.8322
1032,17:12,5.1199,3.7024,8.8953
1033,17:13,5.1118,3.7023,8.7282
1034,17:14,5.1226,3.702,8.697
1035,17:15,5.1481,3.7024,8.6636
1036,17:16,5.1096,3.7026,8.6311
1037,17:17,5.1426,3.7021,8.4743
1038,17:18,5.1226,3.7022,8.5913
1039,17:19,5.1245,3.7023,8.4588
1040,17:20,5.1217,3.702,8.6402
1041,17:21,5.1244,3.7024,8.4586
1042,17:22,5.1303,3.7024,8.6888
1043,17:23,5.1281,3.7038,8.7871
1044,17:24,5.1275,3.719,8.8619
1045,17:25,5.1582,3.7477,8.751
1046,17:26,5.1376,3.7088,8.6296
1047,17:27,5.1248,3.7109,8.9581
1048,17:28,5.1488,3.7192,8.849
1049,17:29,5.1376,3.7046,9.1426
1050,17:30,5.1765,3.7037,9.0855
1051,17:31,5.1908,3.7083,8.9593
1052,17:32,5.1772,3.7078,8.8917
1053,17:33,5.1471,3.7088,8.8917
1054,17:34,5.1585,3.7071,8.9304
1055,17:35,5.1523,3.7035,8.9082
1056,17:36,5.1469,3.7026,9.0217
1057,17:37,5.1494,3.7032,8.8515
1058,17:38,5.1281,3.7034,8.7569
1059,17:39,5.1315,3.7074,8.6863
1060,17:40,5.1319,3.703,8.8353
1061,17:41,5.1452,3.7062,8.5905
1062,17:42,5.1369,3.7078,8.8201
1063,17:43,5.1124,3.7027,8.7191
1064,17:44,5.1461,3.7029,8.4154
1065,17:45,5.1377,3.7091,8.4308
1066,17:46,5.1288,3.7023,8.3597
1067,17:47,5.1237,3.7027,8.5923
1068,17:48,5.1299,3.7059,8.3152
1069,17:49,5.1102,3.7026,8.2705
1070,17:50,5.0925,3.7028,8.263
1071,17:51,5.1065,3.7026,8.2465
1072,17:52,5.1403,3.7028,8.2838
1073,17:53,5.1687,3.7026,8.6365
1074,17:54,5.1012,3.7019,8.3137
1075,17:55,5.0927,3.703,8.6099
1076,17:56,5.1081,3.7029,8.3132
1077,17:57,5.1175,3.7026,8.2935
1078,17:58,5.0982,3.7075,8.4015
1079,17:59,5.1322,3.713,8.1727
1080,18:00,5.2727,4.1085,8.8496
1081,18:01,5.2373,4.0595,8.922
1082,18:02,5.1619,3.7924,8.7415
1083,18:03,5.212,3.767,8.61
1084,18:04,5.1663,3.7822,8.5389
1085,18:05,5.2051,3.7492,8.4765
1086,18:06,5.1437,3.7514,8.3541
1087,18:07,5.1457,3.7425,8.5156
1088,18:08,5.1776,3.7391,8.5809
1089,18:09,5.1777,3.748,8.5014
1090,18:10,5.1432,3.7467,8.3593
1091,18:11,5.1374,3.7511,8.3356
1092,18:12,5.1152,3.7441,8.3018
1093,18:13,5.1064,3.7464,8.3942
1094,18:14,5.075,3.755,8.2123
1095,18:15,5.1105,3.7531,8.4314
1096,18:16,5.1063,3.7542,8.4124
1097,18:17,5.1224,3.7533,8.5919
1098,18:18,5.1369,3.7485,8.7106
1099,18:19,5.1152,3.7504,8.7513
1100,18:20,5.1243,3.7619,8.684
1101,18:21,5.1035,3.7622,8.3498
1102,18:22,5.1049,3.7615,8.3232
1103,18:23,5.1137,3.7661,8.2017
1104,18:24,5.0708,3.7854,8.026
1105,18:25,5.1229,3.7697,8.348
1106,18:26,5.0851,3.7682,8.229
1107,18:27,5.0961,3.7603,8.1556
1108,18:28,5.0869,3.7545,8.1147
1109,18:29,5.0758,3.7869,7.8832
1110,18:30,5.1612,3.7856,8.1276
1111,18:31,5.1842,3.7651,8.0927
1112,18:32,5.1931,3.7866,8.6
1113,18:33,5.2579,3.7596,8.6688
1114,18:34,5.2493,3.762,8.5008
1115,18:35,5.2667,3.7561,8.5899
1116,18:36,5.2158,3.7542,8.3928
1117,18:37,5.1966,3.753,8.4533
1118,18:38,5.2116,3.7599,8.3453
1119,18:39,5.2478,3.7527,8.9737
1120,18:40,5.1544,3.7432,8.2422
1121,18:41,5.2322,3.7748,8.3826
1122,18:42,5.2163,3.7499,8.2597
1123,18:43,5.2262,3.7586,8.4738
1124,18:44,5.1854,3.7574,8.27
1125,18:45,5.1994,3.7563,8.2639
1126,18:46,5.2264,3.7755,8.2859
1127,18:47,5.1934,3.7649,8.209
1128,18:48,5.1737,3.7629,8.3383
1129,18:49,5.1973,3.758,8.3949
1130,18:50,5.1426,3.7806,8.3671
1131,18:51,5.1563,3.7915,8.0368
1132,18:52,5.1785,3.7588,8.0913
1133,18:53,5.1868,3.7657,8.0154
1134,18:54,5.1685,3.7645,8.0462
1135,18:55,5.1665,3.7538,8.3951
1136,18:56,5.1882,3.7658,8.2282
1137,18:57,5.1785,3.7679,8.0604
1138,18:58,5.1655,3.7783,7.9846
1139,18:59,5.2036,3.758,8.1723
1140,19:00,5.3041,3.7579,8.6472
1141,19:01,5.3023,3.7555,8.946
1142,19:02,5.295,3.7592,8.6489
1143,19:03,5.3039,3.7646,8.3327
1144,19:04,5.1344,3.7545,8.3524
1145,19:05,5.1209,3.7612,8.6407
1146,19:06,5.0932,3.771,8.6134
1147,19:07,5.0741,3.7709,8.5314
1148,19:08,5.1064,3.7848,8.5898
1149,19:09,5.089,3.7833,8.3842
1150,19:10,5.0847,3.7671,8.4765
1151,19:11,5.1012,3.7639,8.3039
1152,19:12,5.1213,3.7704,8.681
1153,19:13,5.1638,3.7771,8.9331
1154,19:14,5.1481,3.7713,8.9021
1155,19:15,5.1002,3.7515,8.6234
1156,19:16,5.1144,3.7573,8.6893
1157,19:17,5.1398,3.7567,8.7721
1158,19:18,5.0859,3.7478,8.9026
1159,19:19,5.1471,3.7585,8.5161
1160,19:20,5.1335,3.7565,8.7702
1161,19:21,5.1459,3.7534,8.5686
1162,19:22,5.1201,3.7493,8.1616
1163,19:23,5.1402,3.7489,8.1876
1164,19:24,5.1977,3.7513,8.2232
1165,19:25,5.1688,3.75,8.1979
1166,19:26,5.1907,3.7438,8.2221
1167,19:27,5.1559,3.7502,7.7755
1168,19:28,5.1647,3.7382,7.4996
1169,19:29,5.1627,3.7528,7.6819
1170,19:30,5.152,3.7507,8.1033
1171,19:31,5.1856,3.7572,7.921
1172,19:32,5.1644,3.7847,7.9038
1173,19:33,5.1515,3.7694,7.9887
1174,19:34,5.1402,3.7703,7.9997
1175,19:35,5.1845,3.749,8.1702
1176,19:36,5.1601,3.8079,8.0159
1177,19:37,5.14,3.7867,8.2118
1178,19:38,5.1583,3.7754,8.2114
1179,19:39,5.1218,3.7822,8.0309
1180,19:40,5.0692,3.7699,8.3828
1181,19:41,5.1354,3.7853,8.0477
1182,19:42,5.1187,3.7655,8.3815
1183,19:43,5.1192,3.7956,8.3026
1184,19:44,5.1234,3.7863,8.4742
1185,19:45,5.1096,3.7809,8.7458
1186,19:46,5.1703,3.7747,8.9092
1187,19:47,5.1506,3.7721,8.6391
1188,19:48,5.1528,3.7644,8.8193
1189,19:49,5.1353,3.7599,8.859
1190,19:50,5.1433,3.7576,9.039
1191,19:51,5.1123,3.7704,8.3816
1192,19:52,5.1246,3.7585,8.3684
1193,19:53,5.1193,3.7543,8.3425
1194,19:54,5.1392,3.7611,8.3468
1195,19:55,5.0929,3.7461,8.6451
1196,19:56,5.1609,3.7522,8.4928
1197,19:57,5.1248,3.7598,8.6737
1198,19:58,5.1315,3.7466,8.4886
1199,19:59,5.1863,3.7426,8.8148
1200,20:00,5.1738,3.7559,8.4571
1201,20:01,5.1929,3.7908,8.3696
1202,20:02,5.2025,3.7796,7.8942
1203,20:03,5.1773,3.785,7.7011
1204,20:04,5.1041,3.783,9.739
1205,20:05,5.1104,3.7857,10.2561
1206,20:06,5.1501,3.7691,10.3888
1207,20:07,5.1302,3.7721,8.7055
1208,20:08,5.1156,3.7727,7.6716
1209,20:09,5.1319,3.7721,7.7523
1210,20:10,5.105,3.7716,8.2118
1211,20:11,5.1181,3.7794,8.807
1212,20:12,5.1243,3.8033,8.8507
1213,20:13,5.1323,3.7927,8.4829
1214,20:14,5.1221,3.7936,8.3263
1215,20:15,5.0774,3.8046,8.311
1216,20:16,5.1523,3.7599,8.2908
1217,20:17,5.117,3.809,8.0786
1218,20:18,5.1341,3.79,7.9667
1219,20:19,5.1586,3.7754,7.9828
1220,20:20,5.142,3.7993,7.8402
1221,20:21,5.1272,3.7705,8.1399
1222,20:22,5.143,3.7805,8.8686
1223,20:23,5.141,3.7789,8.023
1224,20:24,5.1454,3.7727,8.521
1225,20:25,5.1352,3.8006,8.5678
1226,20:26,5.1092,3.9577,8.3915
1227,20:27,5.1299,4.0635,8.1077
1228,20:28,5.1335,4.0421,8.2652
1229,20:29,5.117,4.0014,8.2333
1230,20:30,5.0681,3.9847,7.8126
1231,20:31,5.131,3.9516,7.5979
1232,20:32,5.1374,3.9208,7.4833
1233,20:33,5.1393,3.9,7.7307
1234,20:34,5.1253,3.8558,7.6199
1235,20:35,5.1034,3.8544,7.5407
1236,20:36,5.1038,3.9001,7.9962
1237,20:37,5.0897,3.8257,7.6142
1238,20:38,5.151,3.8662,9.2303
1239,20:39,5.125,3.8661,9.9357
1240,20:40,5.1517,3.8501,7.892
1241,20:41,5.1439,3.8778,8.0358
1242,20:42,5.0712,3.967,7.8622
1243,20:43,5.0941,4.0535,7.7242
1244,20:44,5.1153,3.8245,8.762
1245,20:45,5.1044,3.9135,7.9819
1246,20:46,5.13,3.917,7.5281
1247,20:47,5.1277,3.8253,7.4459
1248,20:48,5.112,3.8771,7.5448
1249,20:49,5.3588,3.8168,7.7011
1250,20:50,5.2307,3.8695,7.7699
1251,20:51,5.1573,3.8508,8.0322
1252,20:52,5.2446,3.8342,7.8584
1253,20:53,5.199,3.8962,7.9308
1254,20:54,5.1846,3.796,8.1304
1255,20:55,5.1178,3.9331,8.3711
1256,20:56,5.2214,3.9309,7.899
1257,20:57,4.8631,3.8787,8.2064
1258,20:58,4.9046,3.8703,6.6402
1259,20:59,4.9419,3.8376,6.8265
1260,21:00,5.0679,3.8883,6.7237
1261,21:01,5.1262,3.9116,6.4363
1262,21:02,5.1,3.9144,5.9755
1263,21:03,5.1567,3.918,5.9054
1264,21:04,5.1055,3.8511,5.8605
1265,21:05,5.1159,3.8364,6.036
1266,21:06,5.0654,3.8386,5.9602
1267,21:07,5.089,3.8666,5.6745
1268,21:08,5.1206,3.867,5.7348
1269,21:09,5.0341,3.8129,5.9219
1270,21:10,5.0211,3.7036,5.8247
1271,21:11,5.058,3.7054,5.8376
1272,21:12,5.113,3.7037,6.0717
1273,21:13,5.1599,3.7051,6.0379
1274,21:14,5.0932,3.7069,5.717
1275,21:15,5.1335,3.7051,6.4476
1276,21:16,5.1094,3.708,6.8391
1277,21:17,5.0572,3.8062,6.8585
1278,21:18,5.0642,3.7875,7.2987
1279,21:19,5.0959,3.7136,7.5175
1280,21:20,4.9962,3.7047,6.8055
1281,21:21,5.01,3.7045,6.9257
1282,21:22,4.945,3.7052,6.9738
1283,21:23,5.0124,3.7047,6.6595
1284,21:24,5.0377,3.7056,6.8604
1285,21:25,5.0339,3.7108,6.638
1286,21:26,5.0287,3.746,6.6535
1287,21:27,5.0549,3.7873,6.793
1288,21:28,5.0324,3.7162,7.2179
1289,21:29,4.9584,3.708,7.8062
1290,21:30,4.9818,3.7088,7.2865
1291,21:31,4.9131,3.7072,6.6727
1292,21:32,4.8984,3.7074,7.1908
1293,21:33,4.8844,3.7055,8.2537
1294,21:34,4.8635,3.7089,8.1167
1295,21:35,4.9135,3.7081,7.7171
1296,21:36,4.9862,3.709,8.1801
1297,21:37,4.9892,3.7086,7.2384
1298,21:38,5.0013,3.7068,6.2412
1299,21:39,5.0258,3.7061,7.0575
1300,21:40,5.051,3.7083,7.4011
1301,21:41,5.0421,3.7119,6.4873
1302,21:42,4.9662,3.7105,7.0884
1303,21:43,5.0384,3.7066,6.8453
1304,21:44,4.9356,3.7098,6.706
1305,21:45,4.9,3.7092,6.5222
1306,21:46,5.0233,3.712,7.0004
1307,21:47,4.9878,3.7116,6.8178
1308,21:48,5.0072,3.7062,6.7987
1309,21:49,4.9521,3.7194,7.444
1310,21:50,5.0518,3.7094,7.5939
1311,21:51,5.0748,3.7088,8.3588
1312,21:52,5.0453,3.7065,7.7772
1313,21:53,5.0951,3.7046,7.8119
1314,21:54,5.0897,3.7087,7.3739
1315,21:55,4.9906,3.7078,7.3133
1316,21:56,5.0417,3.7088,7.2408
1317,21:57,4.4385,3.7093,7.7616
1318,21:58,,,
1319,21:59,,,
1320,22:00,,,16.9071
1321,22:01,14.2595,4.4244,16.9026
1322,22:02,13.3251,3.8012,15.9203
1323,22:03,12.7862,3.8526,15.213
1324,22:04,11.9927,3.9214,15.698
1325,22:05,9.6132,4.1488,16.1711
1326,22:06,9.408,3.9825,16.0815
1327,22:07,8.9406,3.9554,15.5945
1328,22:08,9.4131,3.9359,15.1681
1329,22:09,9.5413,3.955,14.9336
1330,22:10,9.0367,3.9633,14.7902
1331,22:11,9.4144,3.9059,14.3489
1332,22:12,9.7173,3.8104,14.2491
1333,22:13,9.5567,3.7393,13.4685
